target,experiment_dir,subdir,cache_interval,layer_depth,fid_score,condition_accuracy
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_2_layer_depth_7,2,7,292.1895844946429,0.1930425614118576
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_1_layer_depth_9,1,9,127.20941384589929,0.37241536378860474
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_3_layer_depth_12,3,12,681.0472396072678,0.05761432275176048
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_2_layer_depth_5,2,5,296.68025459414,0.20145617425441742
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_5_layer_depth_9,5,9,683.145878915655,0.05766713619232178
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_2_layer_depth_8,2,8,284.8220150138376,0.19696097075939178
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_5_layer_depth_7,5,7,683.145878915655,0.05766713619232178
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_2_layer_depth_10,2,10,284.86284702448745,0.20365044474601746
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_1_layer_depth_4,1,4,123.829382989393,0.37680715322494507
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_1_layer_depth_14,1,14,124.74957079524557,0.35666635632514954
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_3_layer_depth_2,3,2,683.145878915655,0.05766713619232178
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_5_layer_depth_3,5,3,683.145878915655,0.05766713619232178
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_3_layer_depth_13,3,13,680.39443438264,0.05777543783187866
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_5_layer_depth_6,5,6,683.145878915655,0.05766713619232178
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_1_layer_depth_13,1,13,124.3055091099599,0.3715534806251526
1,deepcache_layer_experiments_target=1_20250828_223417,cache_interval_1_layer_depth_5,1,5,123.46665349067666,0.36244720220565796
