target,clean_step,cache_depth,cache_interval,time_seconds,time_minutes
3,15,2,5,220,3.66
3,15,3,5,247,4.11
3,20,2,5,265,4.41
3,20,3,5,274,4.56
3,25,2,5,287,4.78
3,25,3,5,292,4.86
3,30,2,5,308,5.13
3,30,3,5,309,5.15
3,0,2,1,380,6.33
5,15,2,5,246,4.10
5,15,3,5,256,4.26
5,20,2,5,266,4.43
5,20,3,5,270,4.50
5,25,2,5,285,4.75
5,25,3,5,288,4.80
5,30,2,5,303,5.05
5,30,3,5,305,5.08
5,0,2,1,380,6.33
7,15,2,5,249,4.15
7,15,3,5,252,4.20
7,20,2,5,267,4.45
7,20,3,5,269,4.48
7,25,2,5,284,4.73
7,25,3,5,288,4.80
7,30,2,5,303,5.05
7,30,3,5,305,5.08
7,0,2,1,375,6.25
