start_gradient,guidance_scale,combined_fid,avg_condition_accuracy,num_images,num_runs
0,0.0,190.5326930587816,0.12000000178813934,150,5
0,0.1,190.78410879718052,0.1666666731238365,150,5
0,1.0,188.40791280514264,0.4066666722297668,150,5
0,2.0,192.7101838981149,0.4133333384990692,150,5
0,5.0,232.4529469629718,0.3066666781902313,150,5
0,10.0,287.67812521252654,0.14666667133569716,150,5
5,0.0,190.5326930587816,0.12000000178813934,150,5
5,0.1,190.53020590895596,0.16000000536441802,150,5
5,1.0,195.50684002673847,0.33333334028720857,150,5
5,2.0,187.73482289374573,0.3600000083446503,150,5
5,5.0,229.50577520454166,0.2200000062584877,150,5
5,10.0,294.4703217376317,0.10666666999459266,150,5
10,0.0,190.5326930587816,,150,0
10,0.1,190.55043825664455,,150,0
10,1.0,190.22792913446386,,150,0
10,2.0,191.03678133961338,,150,0
10,5.0,225.76303251393796,,150,0
10,10.0,287.0126483616788,,150,0
15,0.0,190.5326930587816,,150,0
15,0.1,190.13420490004708,,150,0
15,1.0,186.8699101879098,,150,0
15,2.0,192.13972746005157,,150,0
15,5.0,228.00995899787722,,150,0
15,10.0,282.1819689909218,,150,0
20,0.0,190.5326930587816,,150,0
20,0.1,190.21469818131396,,150,0
20,1.0,188.83538992324736,,150,0
20,2.0,185.49066088674857,,150,0
20,5.0,234.28983717836326,,150,0
20,10.0,294.6418937560347,,150,0
25,0.0,190.5326930587816,,150,0
25,0.1,190.3642743900952,,150,0
25,1.0,187.60033299969194,,150,0
25,2.0,189.52467651884916,,150,0
25,5.0,225.4636257447777,,150,0
25,10.0,284.7605272602614,,150,0
30,0.0,190.5326930587816,,150,0
30,0.1,191.06775201618817,,150,0
30,1.0,188.69068567790833,,150,0
30,2.0,191.91964516233705,,150,0
30,5.0,219.0806265740497,,150,0
30,10.0,280.0361972792906,,150,0
35,0.0,190.5326930587816,,150,0
35,0.1,191.26522250831684,,150,0
35,1.0,193.4537103134976,,150,0
35,2.0,187.40858418146513,,150,0
35,5.0,222.43815990415754,,150,0
35,10.0,279.3762621034517,,150,0
40,0.0,190.5326930587816,,150,0
40,0.1,190.58403313178,,150,0
40,1.0,192.16326702991853,,150,0
40,2.0,190.38816579437577,,150,0
40,5.0,208.76699295676224,,150,0
40,10.0,275.095389061825,,150,0
45,0.0,190.5326930587816,,150,0
45,0.1,190.4780667049422,,150,0
45,1.0,191.07084470881813,,150,0
45,2.0,191.03467053223636,,150,0
45,5.0,206.72090777395485,,150,0
45,10.0,260.703419207347,,150,0
50,0.0,190.5326930587816,,150,0
50,0.1,190.5326930587816,,150,0
50,1.0,190.5326930587816,,150,0
50,2.0,190.5326930587816,,150,0
50,5.0,190.5326930587816,,150,0
50,10.0,190.5326930587816,,150,0
